,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,Tim McGraw,Taylor Swift,Taylor Swift,10/24/06,232106,49,0.58,0.575,0.491,0,0.121,-6.462,0.0251,0.425,76.009
1,Picture To Burn,Taylor Swift,Taylor Swift,10/24/06,173066,54,0.658,0.173,0.877,0,0.0962,-2.098,0.0323,0.821,105.586
2,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,10/24/06,203040,59,0.621,0.288,0.417,0,0.119,-6.941,0.0231,0.289,99.953
3,A Place in this World,Taylor Swift,Taylor Swift,10/24/06,199200,49,0.576,0.051,0.777,0,0.32,-2.881,0.0324,0.428,115.028
4,Cold As You,Taylor Swift,Taylor Swift,10/24/06,239013,50,0.418,0.217,0.482,0,0.123,-5.769,0.0266,0.261,175.558
5,The Outside,Taylor Swift,Taylor Swift,10/24/06,207106,47,0.589,0.00491,0.805,0,0.24,-4.055,0.0293,0.591,112.982
6,Tied Together with a Smile,Taylor Swift,Taylor Swift,10/24/06,248106,47,0.479,0.525,0.578,0,0.0841,-4.963,0.0294,0.192,146.165
7,Stay Beautiful,Taylor Swift,Taylor Swift,10/24/06,236053,48,0.594,0.0868,0.629,0,0.137,-4.919,0.0246,0.504,131.597
8,Should've Said No,Taylor Swift,Taylor Swift,10/24/06,242200,53,0.476,0.0103,0.777,0,0.196,-3.771,0.0289,0.472,167.964
9,Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,10/24/06,213080,50,0.403,0.0177,0.627,0,0.182,-5.28,0.0292,0.374,74.9
10,Our Song,Taylor Swift,Taylor Swift,10/24/06,201106,54,0.668,0.111,0.672,0,0.329,-4.931,0.0303,0.539,89.011
11,I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,10/24/06,213053,50,0.563,0.00452,0.934,0.000807,0.103,-3.629,0.0646,0.518,143.964
12,Invisible,Taylor Swift,Taylor Swift,10/24/06,203226,48,0.612,0.637,0.394,0,0.147,-5.723,0.0243,0.233,96.001
13,A Perfectly Good Heart,Taylor Swift,Taylor Swift,10/24/06,220146,46,0.483,0.00349,0.751,0,0.128,-5.726,0.0365,0.268,156.092
